146516;1;Mst Warszawa (a);mm;52.233002,21.0614195;25;Gdańsk;PiS;1;SELLIN;Jarosław Daniel;Mężczyzna;PiS;52.265259 21.062962
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;2;PŁAŻYŃSKI;Kacper Maciej;Mężczyzna;PiS;54.367438 18.701029
220706;2;Sadlinki;gw;53.653488,18.84361;25;Gdańsk;PiS;3;ŻEBROWSKI;Arwid Marek;Mężczyzna;PiS;53.652229 18.843403
221303;1;Starogard Gdański;gm;53.9654205,18.526571;25;Gdańsk;PiS;4;KILIAN;Jan;Mężczyzna;PiS;53.968415 18.518851
220901;1;Malbork;gm;54.028507,19.044351;25;Gdańsk;PiS;5;CYMAŃSKI;Tadeusz;Mężczyzna;SolidarnaPolska;54.024643 19.042805
221401;1;Tczew;gm;54.0907165,18.7816105;25;Gdańsk;PiS;6;SMOLIŃSKI;Kazimierz;Mężczyzna;PiS;54.090071 18.780795
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;7;RABENDA;Karol Kazimierz;Mężczyzna;PorozumienieJarosławaGowina;54.348197 18.674514
221605;3;Sztum;gmw;53.9253965,18.9987235;25;Gdańsk;PiS;8;CELMER;Sylwia Agnieszka;Kobieta;PiS;53.923759 18.999478
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;9;KORALEWSKI;Kazimierz Marian;Mężczyzna;PiS;54.357098 18.674700
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;10;RAKOWSKI;Tomasz Jędrzej;Mężczyzna;PiS;54.370680 18.677458
226401;1;Sopot;mm;54.441869,18.547822;25;Gdańsk;PiS;11;PETKOWSKI;Paweł Piotr;Mężczyzna;PiS;54.443380 18.546323
220408;2;Trąbki Wielkie;gw;54.16247,18.4986765;25;Gdańsk;PiS;12;KEMPA;Anna Magdalena;Kobieta;PiS;54.159142 18.500774
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;13;SULEWSKA;Katarzyna Joanna;Kobieta;PiS;54.353284 18.698131
220906;2;Miłoradz;gw;54.0148315,18.891552;25;Gdańsk;PiS;14;WIECZOREK;Jan Antoni;Mężczyzna;PiS;54.012805 18.890747
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;15;GÓRNIAK;Sonia Anna;Kobieta;PiS;54.364809 18.672852
220404;2;Pruszcz Gdański;gw;54.269208,18.669243;25;Gdańsk;PiS;16;WITTNER;Marcin Daniel;Mężczyzna;PiS;54.264718 18.667145
221310;2;Skórcz;gw;53.8053385,18.529194;25;Gdańsk;PiS;17;STOLC;Grażyna Jadwiga;Kobieta;PiS;53.806970 18.528856
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;18;CABAJ;Joanna Dorota;Kobieta;BEZP;54.362622 18.676375
220901;1;Malbork;gm;54.028507,19.044351;25;Gdańsk;PiS;19;JASIŃSKI;Mirosław;Mężczyzna;PiS;54.026651 19.046547
221404;3;Pelplin;gmw;53.9249955,18.7374445;25;Gdańsk;PiS;20;WAŃCZYK-KULPIŃSKA;Katarzyna Maria;Kobieta;PiS;53.927224 18.736924
220401;1;Pruszcz Gdański;gm;54.257779,18.645299;25;Gdańsk;PiS;21;BROŻEK;Anna;Kobieta;PiS;54.251974 18.649215
